misra1,misra2,poet
جوں غنچہ و گل آفت فال نظر نہ پوچھ ,پیکاں سے تیرے جلوۂ زخم آشکار تھا ,Mirza Ghalib
دیکھی وفائے فرصت رنج و نشاط دہر ,خمیازہ یک درازی عمر خمار تھا ,Mirza Ghalib
صبح قیامت ایک دم گرگ تھی اسدؔ ,جس دشت میں وہ شوخ دو عالم شکار تھا ,Mirza Ghalib
جز قیس اور کوئی نہ آیا بروئے کار ,صحرا مگر بہ تنگی چشم حسود تھا ,Mirza Ghalib
آشفتگی نے نقش سویدا کیا درست ,ظاہر ہوا کہ داغ کا سرمایہ دود تھا ,Mirza Ghalib
تھا خواب میں خیال کو تجھ سے معاملہ ,جب آنکھ کھل گئی نہ زیاں تھا نہ سود تھا ,Mirza Ghalib
لیتا ہوں مکتب غم دل میں سبق ہنوز ,لیکن یہی کہ رفت گیا اور بود تھا ,Mirza Ghalib
ڈھانپا کفن نے داغ عیوب برہنگی ,میں ورنہ ہر لباس میں ننگ وجود تھا ,Mirza Ghalib
تیشے بغیر مر نہ سکا کوہ کن اسدؔ ,سرگشتۂ خمار رسوم و قیود تھا ,Mirza Ghalib
عالم جہاں بہ عرض بساط وجود تھا ,جوں صبح چاک جیب مجھے تار و پود تھا ,Mirza Ghalib
بازی خور فریب ہے اہل نظر کا ذوق ,ہنگامہ گرم حیرت بود و نبود تھا ,Mirza Ghalib
عالم طلسم شہر خموشی ہے سربسر ,یا میں غریب کشور گفت و شنود تھا ,Mirza Ghalib
تنگی رفیق رہ تھی عدم یا وجود تھا ,میرا سفر بہ طالع چشم حسود تھا ,Mirza Ghalib
تو یک جہاں قماش ہوس جمع کر کہ میں ,حیرت متاع عالم نقصان و سود تھا ,Mirza Ghalib
گردش محیط ظلم رہا جس قدر فلک ,میں پائمال غمزۂ چشم کبود تھا ,Mirza Ghalib
پوچھا تھا گرچہ یار نے احوال دل مگر ,کس کو دماغ منت گفت و شنود تھا ,Mirza Ghalib
خور شبنم آشنا نہ ہوا ورنہ میں اسدؔ ,سر تا قدم گزارش ذوق سجود تھا ,Mirza Ghalib
آئینہ دیکھ اپنا سا منہ لے کے رہ گئے ,صاحب کو دل نہ دینے پہ کتنا غرور تھا ,Mirza Ghalib
قاصد کو اپنے ہاتھ سے گردن نہ ماریے ,اس کی خطا نہیں ہے یہ میرا قصور تھا ,Mirza Ghalib
ضعف جنوں کو وقت تپش در بھی دور تھا ,اک گھر میں مختصر سا بیاباں ضرور تھا ,Mirza Ghalib
اے وائے غفلت نگۂ شوق ورنہ یاں ,ہر پارہ سنگ لخت دل کوہ طور تھا ,Mirza Ghalib
درس تپش ہے برق کو اب جس کے نام سے ,وہ دل ہے یہ کہ جس کا تخلص صبور تھا ,Mirza Ghalib
ہر رنگ میں جلا اسدؔ فتنہ انتظار ,پروانۂ تجلی شمع ظہور تھا ,Mirza Ghalib
شاید کہ مر گیا ترے رخسار دیکھ کر ,پیمانہ رات ماہ کا لبریز نور تھا ,Mirza Ghalib
جنت ہے تیری تیغ کے کشتوں کی منتظر ,جوہر سواد جلوۂ مژگان حور تھا ,Mirza Ghalib
پھر ہوا وقت کہ ہو بال کشا موج شراب ,دے بط مے کو دل و دست شنا موج شراب ,Mirza Ghalib
پوچھ مت وجہ سیہ مستیٔ ارباب چمن ,سایۂ تاک میں ہوتی ہے ہوا موج شراب ,Mirza Ghalib
جو ہوا غرقۂ مے بخت رسا رکھتا ہے ,سر سے گزرے پہ بھی ہے بال ہما موج شراب ,Mirza Ghalib
ہے یہ برسات وہ موسم کہ عجب کیا ہے اگر ,موج ہستی کو کرے فیض ہوا موج شراب ,Mirza Ghalib
چار موج اٹھتی ہے طوفان طرب سے ہر سو ,موج گل موج شفق موج صبا موج شراب ,Mirza Ghalib
جس قدر روح نباتی ہے جگر تشنۂ ناز ,دے ہے تسکیں بہ دم آب بقا موج شراب ,Mirza Ghalib
بسکہ دوڑے ہے رگ تاک میں خوں ہو ہو کر ,شہپر رنگ سے ہے بال کشا موج شراب ,Mirza Ghalib
موجۂ گل سے چراغاں ہے گزر گاہ خیال ,ہے تصور میں ز بس جلوہ نما موج شراب ,Mirza Ghalib
نشہ کے پردے میں ہے محو تماشائے دماغ ,بسکہ رکھتی ہے سر نشو و نما موج شراب ,Mirza Ghalib
ایک عالم پہ ہیں طوفانی کیفیت فصل ,موجۂ سبزۂ نو خیز سے تا موج شراب ,Mirza Ghalib
شرح ہنگامۂ ہستی ہے زہے موسم گل ,رہبر قطرہ بہ دریا ہے خوشا موج شراب ,Mirza Ghalib
ہوش اڑتے ہیں مرے جلوۂ گل دیکھ اسدؔ ,پھر ہوا وقت کہ ہو بال کشا موج شراب ,Mirza Ghalib
گرم فریاد رکھا شکل نہالی نے مجھے ,تب اماں ہجر میں دی برد لیالی نے مجھے ,Mirza Ghalib
نسیہ و نقد دو عالم کی حقیقت معلوم ,لے لیا مجھ سے مری ہمت عالی نے مجھے ,Mirza Ghalib
کثرت آرائی وحدت ہے پرستاری وہم ,کر دیا کافر ان اصنام خیالی نے مجھے ,Mirza Ghalib
ہوس گل کے تصور میں بھی کھٹکا نہ رہا ,عجب آرام دیا بے پر و بالی نے مجھے ,Mirza Ghalib
زندگی میں بھی رہا ذوق فنا کا مارا ,نشہ بخشا غضب اس ساغر خالی نے مجھے ,Mirza Ghalib
بسکہ تھی فصل خزان چمنستان سخن ,رنگ شہرت نہ دیا تازہ خیالی نے مجھے ,Mirza Ghalib
جلوۂ خور سے فنا ہوتی ہے شبنم غالبؔ ,کھو دیا سطوت اسماۓ جلالی نے مجھے ,Mirza Ghalib
ہے کس قدر ہلاک فریب وفائے گل ,بلبل کے کاروبار پہ ہیں خندہ ہائے گل ,Mirza Ghalib
آزادی نسیم مبارک کہ ہر طرف ,ٹوٹے پڑے ہیں حلقۂ دام ہوائے گل ,Mirza Ghalib
جو تھا سو موج رنگ کے دھوکے میں مر گیا ,اے واے نالۂ لب خونیں نوائے گل ,Mirza Ghalib
خوش حال اس حریف سیہ مست کا کہ جو ,رکھتا ہو مثل سایۂ گل سر بہ پائے گل ,Mirza Ghalib
ایجاد کرتی ہے اسے تیرے لیے بہار ,میرا رقیب ہے نفس عطر سائے گل ,Mirza Ghalib
شرمندہ رکھتے ہیں مجھے باد بہار سے ,مینائے بے شراب و دل بے ہوائے گل ,Mirza Ghalib
سطوت سے تیرے جلوۂ حسن غیور کی ,خوں ہے مری نگاہ میں رنگ ادائے گل ,Mirza Ghalib
تیرے ہی جلوہ کا ہے یہ دھوکا کہ آج تک ,بے اختیار دوڑے ہے گل در قفائے گل ,Mirza Ghalib
غالبؔ مجھے ہے اس سے ہم آغوشی آرزو ,جس کا خیال ہے گل جیب قبائے گل ,Mirza Ghalib
دیوانگاں کا چارہ فروغ بہار ہے ,ہے شاخ گل میں پنجۂ خوباں بجائے گل ,Mirza Ghalib
مژگاں تلک رسائی لخت جگر کہاں ,اے وائے گر نگاہ نہ ہو آشنائے گل ,Mirza Ghalib
مژدہ اے ذوق اسیری کہ نظر آتا ہے ,دام خالی قفس مرغ گرفتار کے پاس ,Mirza Ghalib
جگر تشنۂ آزار تسلی نہ ہوا ,جوئے خوں ہم نے بہائی بن ہر خار کے پاس ,Mirza Ghalib
مند گئیں کھولتے ہی کھولتے آنکھیں ہے ہے ,خوب وقت آئے تم اس عاشق بیمار کے پاس ,Mirza Ghalib
میں بھی رک رک کے نہ مرتا جو زباں کے بدلے ,دشنہ اک تیز سا ہوتا مرے غم خوار کے پاس ,Mirza Ghalib
دہن شیر میں جا بیٹھے لیکن اے دل ,نہ کھڑے ہو جیے خوبان دل آزار کے پاس ,Mirza Ghalib
دیکھ کر تجھ کو چمن بسکہ نمو کرتا ہے ,خود بہ خود پہنچے ہے گل گوشۂ دستار کے پاس ,Mirza Ghalib
مر گیا پھوڑ کے سر غالبؔ وحشی ہے ہے ,بیٹھنا اس کا وہ آ کر تری دیوار کے پاس ,Mirza Ghalib
رہا گر کوئی تا قیامت سلامت ,پھر اک روز مرنا ہے حضرت سلامت ,Mirza Ghalib
جگر کو مرے عشق خوں نابہ مشرب ,لکھے ہے خداوند نعمت سلامت ,Mirza Ghalib
علی الرغم دشمن شہید وفا ہوں ,مبارک مبارک سلامت سلامت ,Mirza Ghalib
نہیں گر سر و برگ ادراک معنی ,تماشاۓ نیرنگ صورت سلامت ,Mirza Ghalib
دو عالم کی ہستی پہ خط فنا کھینچ ,دل و دست ارباب ہمت سلامت ,Mirza Ghalib
نہیں گر بہ کام دل خستہ گردوں ,جگر خائی جوش حسرت سلامت ,Mirza Ghalib
نہ اوروں کی سنتا نہ کہتا ہوں اپنی ,سر خستہ دشوار وحشت سلامت ,Mirza Ghalib
وفور بلا ہے ہجوم وفا ہے ,سلامت ملامت ملامت سلامت ,Mirza Ghalib
نہ فکر سلامت نہ بیم ملامت ,ز خود رفتگی‌ ہائے حیرت سلامت ,Mirza Ghalib
رہے غالبؔ خستہ مغلوب گردوں ,یہ کیا بے نیازی ہے حضرت سلامت ,Mirza Ghalib
مانع دشت نوردی کوئی تدبیر نہیں ,ایک چکر ہے مرے پانو میں زنجیر نہیں ,Mirza Ghalib
شوق اس دشت میں دوڑائے ہے مجھ کو کہ جہاں ,جادہ غیر از نگہ دیدۂ تصویر نہیں ,Mirza Ghalib
حسرت لذت آزار رہی جاتی ہے ,جادۂ راہ وفا جز دم شمشیر نہیں ,Mirza Ghalib
رنج نومیدی جاوید گوارا رہیو ,خوش ہوں گر نالہ زبونی کش تاثیر نہیں ,Mirza Ghalib
سر کھجاتا ہے جہاں زخم سر اچھا ہو جائے ,لذت سنگ بہ اندازۂ تقریر نہیں ,Mirza Ghalib
جب کرم رخصت بیباکی و گستاخی دے ,کوئی تقصیر بجز خجلت تقصیر نہیں ,Mirza Ghalib
غالبؔ اپنا یہ عقیدہ ہے بقول ناسخؔ ,آپ بے بہرہ ہے جو معتقد میرؔ نہیں ,Mirza Ghalib
میرؔ کے شعر کا احوال کہوں کیا غالبؔ ,جس کا دیوان کم از گلشن کشمیر نہیں ,Mirza Ghalib
آئینہ دام کو پردے میں چھپاتا ہے عبث ,کہ پری زاد نظر قابل تسخیر نہیں ,Mirza Ghalib
مثل گل زخم ہے میرا بھی سناں سے توام ,تیرا ترکش ہی کچھ آبستنیٔ تیر نہیں ,Mirza Ghalib
محرم نہیں ہے تو ہی نوا ہائے راز کا ,یاں ورنہ جو حجاب ہے پردہ ہے ساز کا ,Mirza Ghalib
رنگ شکستہ صبح بہار نظارہ ہے ,یہ وقت ہے شگفتن گل ہائے ناز کا ,Mirza Ghalib
تو اور سوئے غیر نظر ہائے تیز تیز ,میں اور دکھ تری مژہ ہائے دراز کا ,Mirza Ghalib
صرفہ ہے ضبط آہ میں میرا وگرنہ میں ,طعمہ ہوں ایک ہی نفس جاں گداز کا ,Mirza Ghalib
ہیں بسکہ جوش بادہ سے شیشے اچھل رہے ,ہر گوشۂ بساط ہے سر شیشہ باز کا ,Mirza Ghalib
کاوش کا دل کرے ہے تقاضا کہ ہے ہنوز ,ناخن پہ قرض اس گرہ نیم باز کا ,Mirza Ghalib
تاراج کاوش غم ہجراں ہوا اسدؔ ,سینہ کہ تھا دفینہ گہر ہائے راز کا ,Mirza Ghalib
مسجد کے زیر سایہ خرابات چاہیے ,بھوں پاس آنکھ قبلۂ حاجات چاہیے ,Mirza Ghalib
عاشق ہوئے ہیں آپ بھی ایک اور شخص پر ,آخر ستم کی کچھ تو مکافات چاہیے ,Mirza Ghalib
دے داد اے فلک دل حسرت پرست کی ,ہاں کچھ نہ کچھ تلافئ مافات چاہیے ,Mirza Ghalib
سیکھے ہیں مہ رخوں کے لیے ہم مصوری ,تقریب کچھ تو بہر ملاقات چاہیے ,Mirza Ghalib
مے سے غرض نشاط ہے کس رو سیاہ کو ,اک گونہ بے خودی مجھے دن رات چاہیے ,Mirza Ghalib
نشوونما ہے اصل سے غالبؔ فروع کو ,خاموشی ہی سے نکلے ہے جو بات چاہیے ,Mirza Ghalib
ہے رنگ لالہ و گل و نسریں جدا جدا ,ہر رنگ میں بہار کا اثبات چاہیے ,Mirza Ghalib
سر پائے خم پہ چاہیے ہنگام بے خودی ,رو سوئے قبلہ وقت مناجات چاہیے ,Mirza Ghalib
یعنی بہ حسب گردش پیمانۂ صفات ,عارف ہمیشہ مست مے ذات چاہیے ,Mirza Ghalib
دھمکی میں مر گیا جو نہ باب نبرد تھا ,عشق نبرد پیشہ طلب گار مرد تھا ,Mirza Ghalib
تھا زندگی میں مرگ کا کھٹکا لگا ہوا ,اڑنے سے پیشتر بھی مرا رنگ زرد تھا ,Mirza Ghalib
تالیف نسخہ ہائے وفا کر رہا تھا میں ,مجموعۂ خیال ابھی فرد فرد تھا ,Mirza Ghalib
دل تا جگر کہ ساحل دریائے خوں ہے اب ,اس رہ گزر میں جلوۂ گل آگے گرد تھا ,Mirza Ghalib
جاتی ہے کوئی کشمکش اندوہ عشق کی ,دل بھی اگر گیا تو وہی دل کا درد تھا ,Mirza Ghalib
احباب چارہ سازی وحشت نہ کر سکے ,زنداں میں بھی خیال بیاباں نورد تھا ,Mirza Ghalib
یہ لاش بے کفن اسدؔ خستہ جاں کی ہے ,حق مغفرت کرے عجب آزاد مرد تھا ,Mirza Ghalib
دیکھنا قسمت کہ آپ اپنے پہ رشک آ جائے ہے ,میں اسے دیکھوں بھلا کب مجھ سے دیکھا جائے ہے ,Mirza Ghalib
ہاتھ دھو دل سے یہی گرمی گر اندیشے میں ہے ,آبگینہ تندی صہبا سے پگھلا جائے ہے ,Mirza Ghalib
غیر کو یا رب وہ کیونکر منع گستاخی کرے ,گر حیا بھی اس کو آتی ہے تو شرما جائے ہے ,Mirza Ghalib
شوق کو یہ لت کہ ہر دم نالہ کھینچے جائیے ,دل کی وہ حالت کہ دم لینے سے گھبرا جائے ہے ,Mirza Ghalib
دور چشم بد تری بزم طرب سے واہ واہ ,نغمہ ہو جاتا ہے واں گر نالہ میرا جائے ہے ,Mirza Ghalib
گرچہ ہے طرز تغافل پردہ دار راز عشق ,پر ہم ایسے کھوے جاتے ہیں کہ وہ پا جائے ہے ,Mirza Ghalib
اس کی بزم آرائیاں سن کر دل رنجور یاں ,مثل نقش مدعائے غیر بیٹھا جائے ہے ,Mirza Ghalib
ہو کے عاشق وہ پری رخ اور نازک بن گیا ,رنگ کھلتا جاے ہے جتنا کہ اڑتا جائے ہے ,Mirza Ghalib
نقش کو اس کے مصور پر بھی کیا کیا ناز ہیں ,کھینچتا ہے جس قدر اتنا ہی کھنچتا جائے ہے ,Mirza Ghalib
سایہ میرا مجھ سے مثل دود بھاگے ہے اسدؔ ,پاس مجھ آتش بجاں کے کس سے ٹھہرا جائے ہے ,Mirza Ghalib
کبھی نیکی بھی اس کے جی میں گر آ جائے ہے مجھ سے ,جفائیں کر کے اپنی یاد شرما جائے ہے مجھ سے ,Mirza Ghalib
خدایا جذبۂ دل کی مگر تاثیر الٹی ہے ,کہ جتنا کھینچتا ہوں اور کھنچتا جائے ہے مجھ سے ,Mirza Ghalib
وہ بد خو اور میری داستان عشق طولانی ,عبارت مختصر قاصد بھی گھبرا جائے ہے مجھ سے ,Mirza Ghalib
ادھر وہ بد گمانی ہے ادھر یہ ناتوانی ہے ,نہ پوچھا جائے ہے اس سے نہ بولا جائے ہے مجھ سے ,Mirza Ghalib
سنبھلنے دے مجھے اے نا امیدی کیا قیامت ہے ,کہ دامان خیال یار چھوٹا جائے ہے مجھ سے ,Mirza Ghalib
تکلف بر طرف نظارگی میں بھی سہی لیکن ,وہ دیکھا جائے کب یہ ظلم دیکھا جائے ہے مجھ سے ,Mirza Ghalib
ہوئے ہیں پاؤں ہی پہلے نبرد عشق میں زخمی ,نہ بھاگا جائے ہے مجھ سے نہ ٹھہرا جائے ہے مجھ سے ,Mirza Ghalib
قیامت ہے کہ ہووے مدعی کا ہم سفر غالبؔ ,وہ کافر جو خدا کو بھی نہ سونپا جائے ہے مجھ سے ,Mirza Ghalib
وہ آ کے خواب میں تسکین اضطراب تو دے ,ولے مجھے تپش دل مجال خواب تو دے ,Mirza Ghalib
کرے ہے قتل لگاوٹ میں تیرا رو دینا ,تری طرح کوئی تیغ نگہ کو آب تو دے ,Mirza Ghalib
دکھا کے جنبش لب ہی تمام کر ہم کو ,نہ دے جو بوسہ تو منہ سے کہیں جواب تو دے ,Mirza Ghalib
پلا دے اوک سے ساقی جو ہم سے نفرت ہے ,پیالہ گر نہیں دیتا نہ دے شراب تو دے ,Mirza Ghalib
اسدؔ خوشی سے مرے ہاتھ پاؤں پھول گئے ,کہا جو اس نے ذرا میرے پاؤں داب تو دے ,Mirza Ghalib
یہ کون کہوے ہے آباد کر ہمیں لیکن ,کبھی زمانہ مراد دل خراب تو دے ,Mirza Ghalib
دوست غم خواری میں میری سعی فرماویں گے کیا ,زخم کے بھرتے تلک ناخن نہ بڑھ جاویں گے کیا ,Mirza Ghalib
بے نیازی حد سے گزری بندہ پرور کب تلک ,ہم کہیں گے حال دل اور آپ فرماویں گے کیا ,Mirza Ghalib
حضرت ناصح گر آویں دیدہ و دل فرش راہ ,کوئی مجھ کو یہ تو سمجھا دو کہ سمجھاویں گے کیا ,Mirza Ghalib
آج واں تیغ و کفن باندھے ہوے جاتا ہوں میں ,عذر میرے قتل کرنے میں وہ اب لاویں گے کیا ,Mirza Ghalib
گر کیا ناصح نے ہم کو قید اچھا یوں سہی ,یہ جنون عشق کے انداز چھٹ جاویں گے کیا ,Mirza Ghalib
خانہ زاد زلف ہیں زنجیر سے بھاگیں گے کیوں ,ہیں گرفتار وفا زنداں سے گھبراویں گے کیا ,Mirza Ghalib
ہے اب اس معمورہ میں قحط غم الفت اسدؔ ,ہم نے یہ مانا کہ دلی میں رہیں کھاویں گے کیا ,Mirza Ghalib
عشرت قطرہ ہے دریا میں فنا ہو جانا ,درد کا حد سے گزرنا ہے دوا ہو جانا ,Mirza Ghalib
تجھ سے قسمت میں مری صورت قفل ابجد ,تھا لکھا بات کے بنتے ہی جدا ہو جانا ,Mirza Ghalib
دل ہوا کشمکش چارۂ زحمت میں تمام ,مٹ گیا گھسنے میں اس عقدے کا وا ہو جانا ,Mirza Ghalib
اب جفا سے بھی ہیں محروم ہم اللہ اللہ ,اس قدر دشمن ارباب وفا ہو جانا ,Mirza Ghalib
ضعف سے گریہ مبدل بہ دم سرد ہوا ,باور آیا ہمیں پانی کا ہوا ہو جانا ,Mirza Ghalib
دل سے مٹنا تری انگشت حنائی کا خیال ,ہو گیا گوشت سے ناخن کا جدا ہو جانا ,Mirza Ghalib
ہے مجھے ابر بہاری کا برس کر کھلنا ,روتے روتے غم فرقت میں فنا ہو جانا ,Mirza Ghalib
گر نہیں نکہت گل کو ترے کوچے کی ہوس ,کیوں ہے گرد رہ جولان صبا ہو جانا ,Mirza Ghalib
بخشے ہے جلوۂ گل ذوق تماشا غالبؔ ,چشم کو چاہیے ہر رنگ میں وا ہو جانا ,Mirza Ghalib
تا کہ تجھ پر کھلے اعجاز ہوائے صیقل ,دیکھ برسات میں سبز آئنے کا ہو جانا ,Mirza Ghalib
دیکھ کر در پردہ گرم دامن افشانی مجھے ,کر گئی وابستۂ تن میری عریانی مجھے ,Mirza Ghalib
بن گیا ہیں تیغ نگاہ یار کا سنگ فساں ,مرحبا میں کیا مبارک ہے گراں جانی مجھے ,Mirza Ghalib
کیوں نہ ہو بے التفاتی اس کی خاطر جمع ہے ,جانتا ہے محو پرسش ‌ہاۓ پنہانی مجھے ,Mirza Ghalib
میرے غم خانے کی قسمت جب رقم ہونے لگی ,لکھ دیا منجملۂ اسباب ویرانی مجھے ,Mirza Ghalib
بد گماں ہوتا ہے وہ کافر نہ ہوتا کاش کے ,اس قدر ذوق نوائے مرغ بستانی مجھے ,Mirza Ghalib
وائے واں بھی شور محشر نے نہ دم لینے دیا ,لے گیا تھا گور میں ذوق تن آسانی مجھے ,Mirza Ghalib
وعدہ آنے کا وفا کیجے یہ کیا انداز ہے ,تم نے کیوں سونپی ہے میرے گھر کی دربانی مجھے ,Mirza Ghalib
ہاں نشاط آمد فصل بہاری واہ واہ ,پھر ہوا ہے تازہ سودائے غزل خوانی مجھے ,Mirza Ghalib
دی مرے بھائی کو حق نے از سر نو زندگی ,میرزا یوسف ہے غالبؔ یوسف ثانی مجھے ,Mirza Ghalib
مزے جہان کے اپنی نظر میں خاک نہیں ,سواے خون جگر سو جگر میں خاک نہیں ,Mirza Ghalib
مگر غبار ہوے پر ہوا اڑا لے جاے ,وگرنہ تاب و تواں بال و پر میں خاک نہیں ,Mirza Ghalib
یہ کس بہشت شمائل کی آمد آمد ہے ,کہ غیر جلوۂ گل رہ گزر میں خاک نہیں ,Mirza Ghalib
بھلا اسے نہ سہی کچھ مجھی کو رحم آتا ,اثر مرے نفس بے اثر میں خاک نہیں ,Mirza Ghalib
خیال جلوۂ گل سے خراب ہیں میکش ,شراب خانہ کے دیوار و در میں خاک نہیں ,Mirza Ghalib
ہوا ہوں عشق کی غارتگری سے شرمندہ ,سواے حسرت تعمیر گھر میں خاک نہیں ,Mirza Ghalib
ہمارے شعر ہیں اب صرف دل لگی کے اسدؔ ,کھلا کہ فائدہ عرض ہنر میں خاک نہیں ,Mirza Ghalib
عشق تاثیر سے نومید نہیں ,جاں سپاری شجر بید نہیں ,Mirza Ghalib
سلطنت دست بدست آئی ہے ,جام مے خاتم جمشید نہیں ,Mirza Ghalib
ہے تجلی تری سامان وجود ,ذرہ بے پرتو خورشید نہیں ,Mirza Ghalib
راز معشوق نہ رسوا ہو جائے ,ورنہ مر جانے میں کچھ بھید نہیں ,Mirza Ghalib
گردش رنگ طرب سے ڈر ہے ,غم محرومئ جاوید نہیں ,Mirza Ghalib
کہتے ہیں جیتے ہیں امید پہ لوگ ,ہم کو جینے کی بھی امید نہیں ,Mirza Ghalib
عجب نشاط سے جلاد کے چلے ہیں ہم آگے ,کہ اپنے سائے سے سر پانو سے ہے دو قدم آگے ,Mirza Ghalib
قضا نے تھا مجھے چاہا خراب بادۂ الفت ,فقط خراب لکھا بس نہ چل سکا قلم آگے ,Mirza Ghalib
غم زمانہ نے جھاڑی نشاط عشق کی مستی ,وگرنہ ہم بھی اٹھاتے تھے لذت الم آگے ,Mirza Ghalib
خدا کے واسطے داد اس جنون شوق کی دینا ,کہ اس کے در پہ پہنچتے ہیں نامہ بر سے ہم آگے ,Mirza Ghalib
یہ عمر بھر جو پریشانیاں اٹھائی ہیں ہم نے ,تمہارے آئیو اے طرہ ہاۓ خم بہ خم آگے ,Mirza Ghalib
دل و جگر میں پرافشاں جو ایک موجۂ خوں ہے ,ہم اپنے زعم میں سمجھے ہوئے تھے اس کو دم آگے ,Mirza Ghalib
قسم جنازے پہ آنے کی میرے کھاتے ہیں غالبؔ ,ہمیشہ کھاتے تھے جو میری جان کی قسم آگے ,Mirza Ghalib
فریاد کی کوئی لے نہیں ہے ,نالہ پابند نے نہیں ہے ,Mirza Ghalib
کیوں بوتے ہیں باغبان تونبے ,گر باغ گدائے مے نہیں ہے ,Mirza Ghalib
ہر چند ہر ایک شے میں تو ہے ,پر تجھ سی کوئی شے نہیں ہے ,Mirza Ghalib
ہاں کھائیو مت فریب ہستی ,ہر چند کہیں کہ ہے نہیں ہے ,Mirza Ghalib
شادی سے گزر کہ غم نہ ہووے ,اردی جو نہ ہو تو دے نہیں ہے ,Mirza Ghalib
کیوں رد قدح کرے ہے زاہد ,مے ہے یہ مگس کی قے نہیں ہے ,Mirza Ghalib
ہستی ہے نہ کچھ عدم ہے غالبؔ ,آخر تو کیا ہے اے نہیں ہے ,Mirza Ghalib
دیوانگی سے دوش پہ زنار بھی نہیں ,یعنی ہمارے جیب میں اک تار بھی نہیں ,Mirza Ghalib
دل کو نیاز حسرت دیدار کر چکے ,دیکھا تو ہم میں طاقت دیدار بھی نہیں ,Mirza Ghalib
ملنا ترا اگر نہیں آساں تو سہل ہے ,دشوار تو یہی ہے کہ دشوار بھی نہیں ,Mirza Ghalib
بے عشق عمر کٹ نہیں سکتی ہے اور یاں ,طاقت بقدر لذت آزار بھی نہیں ,Mirza Ghalib
شوریدگی کے ہاتھ سے ہے سر وبال دوش ,صحرا میں اے خدا کوئی دیوار بھی نہیں ,Mirza Ghalib
گنجایش عداوت اغیار یک طرف ,یاں دل میں ضعف سے ہوس یار بھی نہیں ,Mirza Ghalib
ڈر نالہ ہائے زار سے میرے خدا کو مان ,آخر نوائے مرغ گرفتار بھی نہیں ,Mirza Ghalib
دل میں ہے یار کی صف مژگاں سے روکشی ,حالانکہ طاقت خلش خار بھی نہیں ,Mirza Ghalib
اس سادگی پہ کون نہ مر جائے اے خدا ,لڑتے ہیں اور ہاتھ میں تلوار بھی نہیں ,Mirza Ghalib
دیکھا اسدؔ کو خلوت و جلوت میں بارہا ,دیوانہ گر نہیں ہے تو ہشیار بھی نہیں ,Mirza Ghalib
نالہ جز حسن طلب اے ستم ایجاد نہیں ,ہے تقاضائے جفا شکوۂ بیداد نہیں ,Mirza Ghalib
عشق و مزدوری عشرت گہ خسرو کیا خوب ,ہم کو تسلیم نکو نامی فرہاد نہیں ,Mirza Ghalib
کم نہیں وہ بھی خرابی میں پہ وسعت معلوم ,دشت میں ہے مجھے وہ عیش کہ گھر یاد نہیں ,Mirza Ghalib
اہل بینش کو ہے طوفان حوادث مکتب ,لطمۂ موج کم از سیلئ استاد نہیں ,Mirza Ghalib
وائے محرومی تسلیم و بدا حال وفا ,جانتا ہے کہ ہمیں طاقت فریاد نہیں ,Mirza Ghalib
رنگ تمکین گل و لالہ پریشاں کیوں ہے ,گر چراغان سر رہ گزر باد نہیں ,Mirza Ghalib
سبد گل کے تلے بند کرے ہے گلچیں ,مژدہ اے مرغ کہ گلزار میں صیاد نہیں ,Mirza Ghalib
نفی سے کرتی ہے اثبات تراوش گویا ,دی ہے جائے دہن اس کو دم ایجاد نہیں ,Mirza Ghalib
کم نہیں جلوہ گری میں ترے کوچے سے بہشت ,یہی نقشہ ہے ولے اس قدر آباد نہیں ,Mirza Ghalib
کرتے کس منہ سے ہو غربت کی شکایت غالبؔ ,تم کو بے مہری یاران وطن یاد نہیں ,Mirza Ghalib
ذکر میرا بہ بدی بھی اسے منظور نہیں ,غیر کی بات بگڑ جائے تو کچھ دور نہیں ,Mirza Ghalib
وعدۂ سیر گلستاں ہے خوشا طالع شوق ,مژدۂ قتل مقدر ہے جو مذکور نہیں ,Mirza Ghalib
شاہد ہستی مطلق کی کمر ہے عالم ,لوگ کہتے ہیں کہ ہے پر ہمیں منظور نہیں ,Mirza Ghalib
قطرہ اپنا بھی حقیقت میں ہے دریا لیکن ,ہم کو تقلید تنک ظرفی منصور نہیں ,Mirza Ghalib
حسرت اے ذوق خرابی کہ وہ طاقت نہ رہی ,عشق پر عربدہ کی گوں تن رنجور نہیں ,Mirza Ghalib
میں جو کہتا ہوں کہ ہم لیں گے قیامت میں تمہیں ,کس رعونت سے وہ کہتے ہیں کہ ہم حور نہیں ,Mirza Ghalib
ظلم کر ظلم اگر لطف دریغ آتا ہو ,تو تغافل میں کسی رنگ سے معذور نہیں ,Mirza Ghalib
صاف دردی کش پیمانۂ جم ہیں ہم لوگ ,وائے وہ بادہ کہ افشردۂ انگور نہیں ,Mirza Ghalib
ہوں ظہوری کے مقابل میں خفائی غالبؔ ,میرے دعوے پہ یہ حجت ہے کہ مشہور نہیں ,Mirza Ghalib
ستائش گر ہے زاہد اس قدر جس باغ رضواں کا ,وہ اک گلدستہ ہے ہم بے خودوں کے طاق نسیاں کا ,Mirza Ghalib
بیاں کیا کیجیے بیداد کاوش ہائے مژگاں کا ,کہ ہر یک قطرۂ خوں دانہ ہے تسبیح مرجاں کا ,Mirza Ghalib
